LEFT: y = 28900/(x+10) - 17
(50, 458)
(60, 393)
(70, 340)
(80, 306)
(90, 272)
(100, 244)
(150, 168)
(200, 124)
(250, 95)
(300, 76)
(350, 63)
(400, 54)
(450, 43)
(500, 38)
(550, 34)
(600, 30)

CENT: y = 28600/(x+11) - 13
(50, 453)
(60, 393)
(70, 341)
(80, 302)
(90, 270)
(100, 244)
(150, 169)
(200, 123)
(250, 95)
(300, 74)
(350, 62)
(400, 54)
(450, 46)
(500, 42)
(550, 38)
(600, 34)

RIGHT: y = 29400/(x+13) - 23
(50, 435)
(60, 381)
(70, 331)
(80, 301)
(90, 266)
(100, 243)
(150, 162)
(200, 114)
(250, 90)
(300, 69)
(350, 57)
(400, 46)
(450, 37)
(500, 33)
(550, 29)
(600, 25)
